Continent,Country,Population,GDP
Asia,Afghanistan,37172386,19362969582
Europe,Albania,2866376,15102500898
Africa,Algeria,42228429,173758000000
Europe,Andorra,77006,3236543909
Africa,Angola,30809762,105751000000
North America,Antigua and Barbuda,96286,1610574074
South America,Argentina,44494502,519872000000
Asia,Armenia,2951776,12433089919
Oceania,Australia,24982688,1433900000000
Europe,Austria,8840521,455286000000
Asia,Azerbaijan,9939800,46939529412
North America,Bahamas,385640,12424500000
Asia,Bahrain,1569439,37746196809
Asia,Bangladesh,161356039,274025000000
North America,Barbados,286641,5145000000
Europe,Belarus,9483499,60031262269
Europe,Belgium,11433256,542761000000
North America,Belize,383071,1871203164
Africa,Benin,11485048,14250985959
Asia,Bhutan,754394,2446674101
South America,Bolivia,11353142,40287647757
Europe,Bosnia and Herzegovina,3323929,20161865419
Africa,Botswana,2254126,18616018903
South America,Brazil,209469333,1885480000000
Asia,Brunei,428962,13570000000
Europe,Bulgaria,7025037,65132951116
Africa,Burkina Faso,19751535,14124775069
Asia,Burma,53710000,71210000000
Africa,Burundi,11175378,3036931818
Africa,Cabo Verde,543767,1976814277
Asia,Cambodia,16249798,24542474061
Africa,Cameroon,25216237,38675205293
North America,Canada,37057765,1713340000000
Africa,Central African Republic,4666377,2219894702
Africa,Chad,15477751,11273115239
South America,Chile,18729160,298231000000
Asia,China,1400181000,13970800000000
South America,Colombia,49648685,331047000000
Africa,Comoros,832322,1177955049
Africa,Congo (Brazzaville),84068091,47227535291
Africa,Congo (Kinshasa),5244363,11263682694
North America,Costa Rica,4999441,60130106116
Africa,Cote d'Ivoire,25069229,43007047822
Europe,Croatia,4087843,60971699315
North America,Cuba,11338138,100023000000
Europe,Cyprus,1189265,24961988663
Europe,Czechia,10629928,245226000000
Europe,Denmark,5793636,355675000000
Not-Specified,Diamond Princess,3711,0
Africa,Djibouti,958920,2955912228
North America,Dominica,71625,550892593
North America,Dominican Republic,10627165,85555390387
South America,Ecuador,17084357,108398000000
Africa,Egypt,98423595,250895000000
North America,El Salvador,6420744,26057000000
Africa,Equatorial Guinea,1308974,13278488567
Africa,Eritrea,3542724,2608000000
Europe,Estonia,1321977,30732144529
Africa,Eswatini,1136191,4710618472
Africa,Ethiopia,109224559,84355604753
